title,genre,director,country,year
В паутине,"комедийный фильм,[1],[2],драматический фильм,[1],[2],чёрная комедия,[d],исторический фильм,[2]","Ким Чжи Ун,[2]"," ,Республика Корея,[2]",2023
В воде,,Хон Сан Су," ,Республика Корея",2023
Бюро магических услуг,"фэнтезийный фильм,приключенческий фильм,комедийный фильм",Джеффри Уокер," ,Австралия",2023
Будика: Королева воинов,"боевик,приключенческий фильм","Джесси В. Джонсон,[d]"," ,Великобритания",2023
Бугимен,фильм ужасов о сверхъестественном,Роб Сэвидж," ,США",
Брат 3,криминальная драма,Валерий Переверзев," ,Россия",2023
«Бостонский душитель»,"драма,, ,криминал",Мэтт Раскин," ,США","17 марта, ,2023,[1]"
"Больше, чем люди","фантастика,, ,триллер",Эйприл Маллен," ,Канада",2023
В поисках зверя,"вестерн,[d],драматический фильм,экранизация романа,[d]",Гейб Польски," ,США","2022,10 сентября, ,2022,[1],20 октября, ,2023,[1]"
Большая колесница,"драматический фильм,[1]","Филипп Гаррель,[1]"," ,Франция,[1], ,Швейцария,[1]","2023,февраль ,2023,13 сентября, ,2023,[1]"
Блуждающая Земля 2,"научно-фантастический фильм,приключенческий боевик",Франт Гво,Китай,2023
«Битва в проливе Норян»,"история,военный,биография",Ким Ханмин," ,Южная Корея",2023
Бесконечный бассейн,"триллер,, ,научная фантастика",Брэндон Кроненберг," ,Канада, ,Хорватия, ,Венгрия, ,Франция",2023
Бешенство,триллер,Дмитрий Дьяченко," ,Россия",2023
Министерство неджентльменских дел,экшн-комедия,Гай Ричи,"США, Великобритания, Турция",2024
Без обид,комедия,"Джин Ступницки,[en]"," ,США",2023
Бедные-несчастные,"фэнтези,чёрная комедия",Йоргос Лантимос," ,США, ,Великобритания, ,Ирландия",2023
Белый список,"драма,детектив,психологический триллер",Алиса Хазанова," ,Россия",
Без ответа,"романтический, ,приключенческий, ,комедийный боевик",Декстер Флетчер," ,США",2023
Белые люди не умеют прыгать,комедия,Калматик," ,США",2023
Бекки в ярости,"боевик, , ,триллер","Мэтт Энджел , Сюзанн Кут"," ,США",
Микки 17,"научно-фантастический фильм,[1],приключенческий фильм,[1],драматический фильм,[1]",Пон Джун Хо," ,США",2024
Мастер и Маргарита,"драма,фэнтези",Михаил Локшин," ,Россия",2024
Меч короля,"драма,исторический фильм",Николай Арсель," ,Дания, ,Германия, ,Швеция","5 октября, ,2023,[1],31 августа, ,2023,[2],1 февраля, ,2024,[3]"
Люби меня,,," ,США",
Майор Гром: Игра,,Олег Трофим," ,Россия",2024
